radical_no,char,radical_char,description,pinyin,strokes
1,一,一,one,yī,1
1,丁,一,one,yī,1
1,丂,一,one,yī,1
1,七,一,one,yī,1
1,丄,一,one,yī,1
1,丅,一,one,yī,1
1,丆,一,one,yī,1
1,万,一,one,yī,1
1,丈,一,one,yī,1
1,三,一,one,yī,1
1,上,一,one,yī,1
1,下,一,one,yī,1
1,丌,一,one,yī,1
1,不,一,one,yī,1
1,与,一,one,yī,1
1,丏,一,one,yī,1
1,丐,一,one,yī,1
1,丑,一,one,yī,1
1,丒,一,one,yī,1
1,专,一,one,yī,1
1,且,一,one,yī,1
1,丕,一,one,yī,1
1,世,一,one,yī,1
1,丗,一,one,yī,1
1,丘,一,one,yī,1
1,丙,一,one,yī,1
1,业,一,one,yī,1
1,丛,一,one,yī,1
1,东,一,one,yī,1
1,丝,一,one,yī,1
1,丞,一,one,yī,1
1,丟,一,one,yī,1
1,両,一,one,yī,1
1,丢,一,one,yī,1
1,丣,一,one,yī,1
1,两,一,one,yī,1
1,严,一,one,yī,1
1,並,一,one,yī,1
1,亚,一,one,yī,1
1,冇,一,one,yī,1
1,卋,一,one,yī,1
1,夹,一,one,yī,1
2,丨,丨,line,shù*/gǔn,1
2,个,丨,line,shù*/gǔn,1
2,丫,丨,line,shù*/gǔn,1
2,中,丨,line,shù*/gǔn,1
2,丮,丨,line,shù*/gǔn,1
2,丯,丨,line,shù*/gǔn,1
2,丰,丨,line,shù*/gǔn,1
2,丱,丨,line,shù*/gǔn,1
2,串,丨,line,shù*/gǔn,1
2,丳,丨,line,shù*/gǔn,1
2,临,丨,line,shù*/gǔn,1
2,丵,丨,line,shù*/gǔn,1
2,书,丨,line,shù*/gǔn,1
3,丶,丶,dot,diǎn*/zhǔ,1
3,丷,丶,dot,diǎn*/zhǔ,1
3,丸,丶,dot,diǎn*/zhǔ,1
3,丹,丶,dot,diǎn*/zhǔ,1
3,为,丶,dot,diǎn*/zhǔ,1
3,主,丶,dot,diǎn*/zhǔ,1
3,丼,丶,dot,diǎn*/zhǔ,1
3,丽,丶,dot,diǎn*/zhǔ,1
3,举,丶,dot,diǎn*/zhǔ,1
4,丿,丿,slash,piě,1
4,乀,丿,slash,piě,1
4,乁,丿,slash,piě,1
4,乂,丿,slash,piě,1
4,乃,丿,slash,piě,1
4,乄,丿,slash,piě,1
4,久,丿,slash,piě,1
4,乇,丿,slash,piě,1
4,么,丿,slash,piě,1
4,义,丿,slash,piě,1
4,乊,丿,slash,piě,1
4,之,丿,slash,piě,1
4,乌,丿,slash,piě,1
4,乍,丿,slash,piě,1
4,乎,丿,slash,piě,1
4,乏,丿,slash,piě,1
4,乐,丿,slash,piě,1
4,乑,丿,slash,piě,1
4,乒,丿,slash,piě,1
4,乓,丿,slash,piě,1
4,乕,丿,slash,piě,1
4,乖,丿,slash,piě,1
4,乗,丿,slash,piě,1
4,乘,丿,slash,piě,1
4,亇,丿,slash,piě,1
4,凢,丿,slash,piě,1
4,玍,丿,slash,piě,1
5,乙,乙,second,yǐ,1
5,乚,乙,second,yǐ,1
5,乛,乙,second,yǐ,1
5,乜,乙,second,yǐ,1
5,九,乙,second,yǐ,1
5,乞,乙,second,yǐ,1
5,也,乙,second,yǐ,1
5,乢,乙,second,yǐ,1
5,乣,乙,second,yǐ,1
5,乤,乙,second,yǐ,1
5,乥,乙,second,yǐ,1
5,乧,乙,second,yǐ,1
5,乨,乙,second,yǐ,1
5,乩,乙,second,yǐ,1
5,乪,乙,second,yǐ,1
5,乫,乙,second,yǐ,1
5,乬,乙,second,yǐ,1
5,乭,乙,second,yǐ,1
5,乮,乙,second,yǐ,1
5,乯,乙,second,yǐ,1
5,乱,乙,second,yǐ,1
5,乲,乙,second,yǐ,1
5,乳,乙,second,yǐ,1
5,乴,乙,second,yǐ,1
5,乵,乙,second,yǐ,1
5,乶,乙,second,yǐ,1
5,乷,乙,second,yǐ,1
5,乹,乙,second,yǐ,1
5,乺,乙,second,yǐ,1
5,乻,乙,second,yǐ,1
5,乼,乙,second,yǐ,1
5,乽,乙,second,yǐ,1
5,乾,乙,second,yǐ,1
5,乿,乙,second,yǐ,1
5,亁,乙,second,yǐ,1
5,亂,乙,second,yǐ,1
5,亃,乙,second,yǐ,1
5,亄,乙,second,yǐ,1
5,卫,乙,second,yǐ,1
5,厾,乙,second,yǐ,1
5,朰,乙,second,yǐ,1
5,氹,乙,second,yǐ,1
5,飞,乙,second,yǐ,1
6,亅,亅,hook,gōu*/jué,1
6,了,亅,hook,gōu*/jué,1
6,予,亅,hook,gōu*/jué,1
6,争,亅,hook,gōu*/jué,1
6,亊,亅,hook,gōu*/jué,1
6,事,亅,hook,gōu*/jué,1
6,爳,亅,hook,gōu*/jué,1
7,二,二,two,èr,2
7,亍,二,two,èr,2
7,于,二,two,èr,2
7,亏,二,two,èr,2
7,亐,二,two,èr,2
7,云,二,two,èr,2
7,互,二,two,èr,2
7,亓,二,two,èr,2
7,五,二,two,èr,2
7,井,二,two,èr,2
7,亖,二,two,èr,2
7,亗,二,two,èr,2
7,亘,二,two,èr,2
7,亙,二,two,èr,2
7,些,二,two,èr,2
7,亜,二,two,èr,2
7,亝,二,two,èr,2
7,亞,二,two,èr,2
7,亟,二,two,èr,2
8,亠,亠,lid,tóu,2
8,亡,亠,lid,tóu,2
8,亢,亠,lid,tóu,2
8,亣,亠,lid,tóu,2
8,交,亠,lid,tóu,2
8,亥,亠,lid,tóu,2
8,亦,亠,lid,tóu,2
8,亨,亠,lid,tóu,2
8,亩,亠,lid,tóu,2
8,亪,亠,lid,tóu,2
8,享,亠,lid,tóu,2
8,京,亠,lid,tóu,2
8,亭,亠,lid,tóu,2
8,亮,亠,lid,tóu,2
8,亯,亠,lid,tóu,2
8,亰,亠,lid,tóu,2
8,亳,亠,lid,tóu,2
8,亴,亠,lid,tóu,2
8,亵,亠,lid,tóu,2
8,亶,亠,lid,tóu,2
8,亹,亠,lid,tóu,2
8,赢,亠,lid,tóu,2
9,人,人,person,rén,2
9,亻,人,person,rén,2
9,亼,人,person,rén,2
9,亽,人,person,rén,2
9,亿,人,person,rén,2
9,什,人,person,rén,2
9,仁,人,person,rén,2
9,仂,人,person,rén,2
9,仃,人,person,rén,2
9,仄,人,person,rén,2
9,仅,人,person,rén,2
9,仆,人,person,rén,2
9,仇,人,person,rén,2
9,仈,人,person,rén,2
9,仉,人,person,rén,2
9,今,人,person,rén,2
9,介,人,person,rén,2
9,仌,人,person,rén,2
9,仍,人,person,rén,2
9,从,人,person,rén,2
9,仏,人,person,rén,2
9,仐,人,person,rén,2
9,仑,人,person,rén,2
9,仒,人,person,rén,2
9,仓,人,person,rén,2
9,仔,人,person,rén,2
9,仕,人,person,rén,2
9,他,人,person,rén,2
9,仗,人,person,rén,2
9,付,人,person,rén,2
9,仙,人,person,rén,2
9,仚,人,person,rén,2
9,仛,人,person,rén,2
9,仜,人,person,rén,2
9,仝,人,person,rén,2
9,仞,人,person,rén,2
9,仟,人,person,rén,2
9,仠,人,person,rén,2
9,仡,人,person,rén,2
9,仢,人,person,rén,2
9,代,人,person,rén,2
9,令,人,person,rén,2
9,以,人,person,rén,2
9,仦,人,person,rén,2
9,仧,人,person,rén,2
9,仨,人,person,rén,2
9,仩,人,person,rén,2
9,仪,人,person,rén,2
9,仫,人,person,rén,2
9,们,人,person,rén,2
9,仭,人,person,rén,2
9,仮,人,person,rén,2
9,仯,人,person,rén,2
9,仰,人,person,rén,2
9,仱,人,person,rén,2
