_id,count,pinyin_list,defn_list
斗,5,"[""dǒu"",""dǒu"",""dǒu"",""dǒu"",""dǒu""]","[""/abbr. for the Big Dipper constellation 北斗星[Bei3 dou3 xing1]/dry measure for grain equal to ten 升[sheng1] or one-tenth of a 石[dan4]/decaliter/peck/cup or dipper shaped object/old variant of 陡[dou3]/"",""/to fight/to struggle/to condemn/to censure/to contend/to put together/coming together/"",""/variant of 鬭|斗[dou4]/"",""/variant of 鬥|斗[dou4]/"",""/variant of 鬥|斗[dou4]/""]"
橹,5,"[""lǔ"",""lǔ"",""lǔ"",""lǔ"",""lǔ""]","[""/variant of 櫓|橹[lu3]/"",""/old variant of 櫓|橹[lu3]/"",""/scull (single oar worked from side to side over the stern of a boat) (free word)/"",""/variant of 櫓|橹[lu3]/"",""/variant of 櫓|橹[lu3]/""]"
蛔,5,"[""húi"",""húi"",""húi"",""húi"",""húi""]","[""/old variant of 蛔[hui2]/"",""/variant of 蛔[hui2]/"",""/roundworm/Ascaris lumbricoides/"",""/old variant of 蛔[hui2]/"",""/old variant of 蛔[hui2]/""]"
窗,5,"[""chuāng"",""chuāng"",""chuāng"",""chuāng"",""chuāng""]","[""/old variant of 窗[chuang1]/"",""/variant of 窗[chuang1]/"",""/variant of 窗[chuang1]/"",""/shutter/window/CL:扇[shan4]/"",""/variant of 窗[chuang1]/""]"
干,5,"[""gān"",""gān"",""gān"",""gān"",""gān""]","[""/old variant of 乾|干[gan1]/"",""/surname Gan/dry/clean/in vain/dried food/foster/adoptive/to ignore/"",""/variant of 乾|干[gan1]/"",""/to concern/to interfere/shield/stem/"",""/tree trunk/main part of sth/to manage/to work/to do/capable/cadre/to kill (slang)/to fuck (vulgar)/""]"
参,5,"[""cān"",""cān"",""cān"",""cān"",""cān""]","[""/variant of 參|参[can1]/"",""/to take part in/to participate/to join/to attend/to counsel/unequal/varied/irregular/uneven/not uniform/abbr. for 參議院|参议院 Senate, Upper House/ginseng/one of the 28 constellations/"",""/old variant of 參|参[can1]/"",""/variant of 參|参[shen1]/"",""/variant of 參|参[shen1]/""]"
只,5,"[""zhǐ"",""zhǐ"",""zhǐ"",""zhǐ"",""zhǐ""]","[""/only/merely/just/but/"",""/variant of 只[zhi3]/"",""/grain that has begun to ripen/"",""/variant of 只[zhi3]/"",""/classifier for birds and certain animals, one of a pair, some utensils, vessels etc/""]"
萱,5,"[""xuān"",""xuān"",""xuān"",""xuān"",""xuān""]","[""/orange day-lily (Hemerocallis flava)/"",""/old variant of 萱[xuan1]/"",""/old variant of 萱[xuan1]/"",""/old variant of 萱[xuan1]/"",""/old variant of 萱[xuan1]/""]"
碗,4,"[""wǎn"",""wǎn"",""wǎn"",""wǎn""]","[""/variant of 碗[wan3]/"",""/variant of 碗[wan3]/"",""/variant of 碗[wan3]/"",""/bowl/cup/CL:隻|只[zhi1],個|个[ge4]/""]"
蕊,4,"[""rǔi"",""rǔi"",""rǔi"",""rǔi""]","[""/variant of 蕊[rui3]/"",""/stamen/pistil/"",""/variant of 蕊[rui3]/"",""/variant of 蕊[rui3]/""]"
岩,4,"[""yán"",""yán"",""yán"",""yán""]","[""/cliff/rock/"",""/variant of 巖|岩[yan2]/"",""/variant of 岩[yan2]/"",""/variant of 巖|岩[yan2]/""]"
奁,4,"[""lián"",""lián"",""lián"",""lián""]","[""/variant of 奩|奁[lian2]/"",""/variant of 奩|奁[lian2]/"",""/bridal trousseau/"",""/old variant of 奩|奁[lian2]/""]"
恤,4,"[""xù"",""xù"",""xù"",""xù""]","[""/variant of 恤[xu4]/"",""/anxiety/sympathy/to sympathize/to give relief/to compensate/"",""/anxiety/sympathy/to sympathize/to give relief/to compensate/"",""/variant of 恤[xu4]/""]"
