_id,count,pinyin_list,defn_list
爿,2,"[""qiáng"",""qiáng""]","[""/\""piece of wood\"" radical in Chinese characters (Kangxi radical 90), mirror image of 片[pian4]/"",""/classifier for strips of land or bamboo, shops, factories etc/slit bamboo or chopped wood (dialect)/""]"
俛,2,"[""fǔ"",""fǔ""]","[""/to exhort/"",""/variant of 俯[fu3]/""]"
亝,2,"[""qí"",""zhāi""]","[""/old variant of 齊|齐[qi2]/"",""/old variant of 齋|斋[zhai1]/""]"
嘅,2,"[""kǎi"",""kǎi""]","[""/possessive particle (Cantonese)/Mandarin equivalent: 的[de5]/"",""/old variant of 慨[kai3]/to sigh (with emotion)/""]"
暠,2,"[""gǎo"",""hào""]","[""/bright/white/"",""/variant of 皓[hao4]/""]"
彷,2,"[""fǎng"",""páng""]","[""/seemingly/"",""/irresolute/""]"
剳,2,"[""zhā"",""zhá""]","[""/hook/sickle/"",""/variant of 札[zha2]/""]"
噘,2,"[""juē"",""juē""]","[""/to pout/"",""/(dialect) to abuse (verbally)/variant of 撅[jue1]/to pout/""]"
槑,2,"[""méi"",""méi""]","[""/old variant of 梅[mei2]/"",""/(Internet slang) emphatic variant of 呆[dai1]/""]"
薰,2,"[""xūn"",""xūn""]","[""/fragrance/warm/to educate/variant of 熏[xun1]/to smoke/to fumigate/"",""/sweet-smelling grass/Coumarouna odorata/tonka beans/coumarin/""]"
乹,2,"[""gān"",""gān""]","[""/old variant of 乾[qian2]/"",""/old variant of 乾|干[gan1]/""]"
㕥,2,"[""yǐ"",""yǐ""]","[""/old variant of 呻[shen1]/"",""/old variant of 以[yi3]/""]"
夥,2,"[""huǒ"",""huǒ""]","[""/companion/partner/group/classifier for groups of people/to combine/together/"",""/many/numerous/""]"
衖,2,"[""nòng"",""lòng""]","[""/variant of 弄[long4]/"",""/variant of 巷[xiang4]/""]"
摺,2,"[""zhé"",""zhé""]","[""/variant of 折[zhe2]/to fold/"",""/document folded in accordion form/to fold/""]"
份子,2,"[""fèn zǐ"",""fēn zǐ""]","[""/one's share of a gift price/"",""/members of a class or group/political elements (such as intellectuals or extremists)/part/""]"
鍾,2,"[""zhōng"",""zhōng""]","[""/surname Zhong/handleless cup/goblet/to concentrate/variant of 鐘|钟[zhong1]/"",""/variant of 鍾|钟[zhong1]/""]"
於,2,"[""yú"",""yú""]","[""/in/at/to/from/by/than/out of/"",""/surname Yu/Taiwan pr. [Yu2]/(literary) Oh!/Ah!/""]"
筦,2,"[""guǎn"",""guǎn""]","[""/surname Guan/"",""/variant of 管[guan3]/""]"
亁,2,"[""gān"",""gān""]","[""/variant of 乾[qian2]/"",""/variant of 乾|干[gan1]/""]"
鈆,2,"[""yán"",""qiān""]","[""/old variant of 沿[yan2]/"",""/old variant of 鉛|铅[qian1]/""]"
餘,2,"[""yú"",""yú""]","[""/extra/surplus/remaining/remainder after division/(following numerical value) or more/in excess of (some number)/residue (math.)/after/I/me/"",""/surname Yu/variant of 餘|余[yu2], remainder/""]"
劵,2,"[""quàn"",""juàn""]","[""/variant of 券[quan4]/"",""/old variant of 倦[juan4]/""]"
參,2,"[""sān"",""cān""]","[""/three (banker's anti-fraud numeral)/"",""/to take part in/to participate/to join/to attend/to counsel/unequal/varied/irregular/uneven/not uniform/abbr. for 參議院|参议院 Senate, Upper House/ginseng/one of the 28 constellations/""]"
麴,2,"[""qū"",""qú""]","[""/yeast/Aspergillus (includes many common molds)/Taiwan pr. [qu2]/"",""/surname Qu/""]"
扶餘,2,"[""fú yú"",""fú yú""]","[""/Fuyu county in Songyuan 松原, Jilin/Pu'yo, Korean Buyeo (c. 200 BC-494 AD), ancient kingdom in northeast frontier region of China/"",""/variant of 扶餘|扶余 Korean: Buyeo (c. 200 BC-494 AD), ancient kingdom in northeast frontier region of China/""]"
剋,2,"[""kè"",""kè""]","[""/Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God/variant of 克[ke4]/to subdue/to overthrow/to restrain/"",""/to scold/to beat/""]"
襢,2,"[""tǎn"",""tǎn""]","[""/old variant of 袒[tan3]/"",""/unadorned but elegant dress/""]"
徵,2,"[""zhēng"",""zhēng""]","[""/to invite/to recruit/to levy (taxes)/to draft (troops)/phenomenon/symptom/characteristic sign (used as proof)/evidence/"",""/4th note in pentatonic scale 五音[wu3 yin1], roughly sol/see also 徵|征[zheng1]/""]"
乾,2,"[""gān"",""gān""]","[""/surname Qian/one of the Eight Trigrams 八卦[ba1 gua4], symbolizing heaven/male principle/☰/ancient Chinese compass point: 315° (northwest)/"",""/surname Gan/dry/clean/in vain/dried food/foster/adoptive/to ignore/""]"
鑪,2,"[""lú"",""𬬻""]","[""/variant of 爐|炉[lu2]/"",""/rutherfordium (chemistry)/""]"
衹,2,"[""zhǐ"",""qí""]","[""/variant of 只[zhi3]/"",""/robe of a Buddhist monk or nun/""]"
篹,2,"[""zhuàn"",""zuǎn""]","[""/ancient bamboo basket for food/variant of 匴[suan3]/bamboo container for hats/to compose/to compile/food/delicacies/"",""/variant of 纂[zuan3]/to compile/""]"
讐,2,"[""chóu"",""chóu""]","[""/variant of 仇[chou2]/"",""/variant of 讎|雠[chou2]/""]"
麯,2,"[""qū"",""qú""]","[""/variant of 麴|曲[qu1]/"",""/surname Qu/""]"
疋,2,"[""pǐ"",""pǐ""]","[""/variant of 匹[pi3]/classifier for cloth: bolt/"",""/foot/variant of 雅[ya3]/""]"
蘋,2,"[""píng"",""𬞟""]","[""/apple/"",""/marsiliaceae/clover fern/""]"
閤,2,"[""hé"",""𬮤""]","[""/variant of 合[he2]/"",""/side door/variant of 閣|阁[ge2]/pavilion/cabinet/boudoir/variant of 闔|阖[he2]/""]"
